f_N,w_radps
0.4921677,3273.4
1.8873459,6533.8
4.0510395,9761.7
6.9642171,12922
9.7387794,15990
12.6549,18930.6
15.1944147,21712.6
18.4429962,24284
19.9479483,26652.6
